USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           2  0.0  0.0      0     0 ?        S    11:01   0:00 [kthreadd]
root           3  0.0  0.0      0     0 ?        S    11:01   0:00  \_ [pool_workqueue_release]
root           4  0.0  0.0      0     0 ?        I<   11:01   0:00  \_ [kworker/R-rcu_gp]
root           5  0.0  0.0      0     0 ?        I<   11:01   0:00  \_ [kworker/R-sync_wq]
root           6  0.0  0.0      0     0 ?        I<   11:01   0:00  \_ [kworker/R-kvfree_rcu_reclaim]
root           7  0.0  0.0      0     0 ?        I<   11:01   0:00  \_ [kworker/R-slub_flushwq]
root           8  0.0  0.0      0     0 ?        I<   11:01   0:00  \_ [kworker/R-netns]
root          11  0.0  0.0      0     0 ?        I<   11:01   0:00  \_ [kworker/0:0H-events_highpri]
root          14  0.0  0.0      0     0 ?        I<   11:01   0:00  \_ [kworker/R-mm_percpu_wq]
root          15  0.0  0.0      0     0 ?        S    11:01   0:00  \_ [ksoftirqd/0]
root          16  0.2  0.0      0     0 ?        I    11:01   1:36  \_ [rcu_preempt]
root          17  0.0  0.0      0     0 ?        S    11:01   0:00  \_ [rcub/0]
root          18  0.0  0.0      0     0 ?        S    11:01   0:00  \_ [rcu_exp_par_gp_kthread_worker/0]
root          19  0.0  0.0      0     0 ?        S    11:01   0:00  \_ [rcu_exp_gp_kthread_worker]
root          20  0.0  0.0      0     0 ?        S    11:01   0:00  \_ [migration/0]
root          21  0.0  0.0      0     0 ?        S    11:01   0:00  \_ [idle_inject/0]
root          22  0.0  0.0      0     0 ?        S    11:01   0:00  \_ [cpuhp/0]
root          23  0.0  0.0      0     0 ?        S    11:01   0:00  \_ [cpuhp/2]
root          24  0.0  0.0      0     0 ?        S    11:01   0:00  \_ [idle_inject/2]
root          25  0.0  0.0      0     0 ?        S    11:01   0:00  \_ [migration/2]
root          26  0.0  0.0      0     0 ?        S    11:01   0:00  \_ [ksoftirqd/2]
root          28  0.0  0.0      0     0 ?        I<   11:01   0:00  \_ [kworker/2:0H-events_highpri]
root          29  0.0  0.0      0     0 ?        S    11:01   0:00  \_ [cpuhp/4]
root          30  0.0  0.0      0     0 ?        S    11:01   0:00  \_ [idle_inject/4]
root          31  0.0  0.0      0     0 ?        S    11:01   0:00  \_ [migration/4]
root          32  0.0  0.0      0     0 ?        S    11:01   0:00  \_ [ksoftirqd/4]
root          34  0.0  0.0      0     0 ?        I<   11:01   0:00  \_ [kworker/4:0H-events_highpri]
root          35  0.0  0.0      0     0 ?        S    11:01   0:00  \_ [cpuhp/6]
root          36  0.0  0.0      0     0 ?        S    11:01   0:00  \_ [idle_inject/6]
root          37  0.0  0.0      0     0 ?        S    11:01   0:00  \_ [migration/6]
root          38  0.0  0.0      0     0 ?        S    11:01   0:00  \_ [ksoftirqd/6]
root          40  0.0  0.0      0     0 ?        I<   11:01   0:00  \_ [kworker/6:0H-events_highpri]
root          41  0.0  0.0      0     0 ?        S    11:01   0:00  \_ [cpuhp/8]
root          42  0.0  0.0      0     0 ?        S    11:01   0:00  \_ [idle_inject/8]
root          43  0.0  0.0      0     0 ?        S    11:01   0:00  \_ [migration/8]
root          44  0.0  0.0      0     0 ?        S    11:01   0:00  \_ [ksoftirqd/8]
root          46  0.0  0.0      0     0 ?        I<   11:01   0:00  \_ [kworker/8:0H-events_highpri]
root          47  0.0  0.0      0     0 ?        S    11:01   0:00  \_ [cpuhp/10]
root          48  0.0  0.0      0     0 ?        S    11:01   0:00  \_ [idle_inject/10]
root          49  0.0  0.0      0     0 ?        S    11:01   0:00  \_ [migration/10]
root          50  0.0  0.0      0     0 ?        S    11:01   0:00  \_ [ksoftirqd/10]
root          52  0.0  0.0      0     0 ?        I<   11:01   0:00  \_ [kworker/10:0H-events_highpri]
root          53  0.0  0.0      0     0 ?        S    11:01   0:00  \_ [cpuhp/1]
root          54  0.0  0.0      0     0 ?        S    11:01   0:00  \_ [idle_inject/1]
root          55  0.0  0.0      0     0 ?        S    11:01   0:00  \_ [migration/1]
root          56  0.0  0.0      0     0 ?        S    11:01   0:00  \_ [ksoftirqd/1]
root          58  0.0  0.0      0     0 ?        I<   11:01   0:00  \_ [kworker/1:0H-events_highpri]
root          59  0.0  0.0      0     0 ?        S    11:01   0:00  \_ [cpuhp/3]
root          60  0.0  0.0      0     0 ?        S    11:01   0:00  \_ [idle_inject/3]
root          61  0.0  0.0      0     0 ?        S    11:01   0:00  \_ [migration/3]
root          62  0.0  0.0      0     0 ?        S    11:01   0:00  \_ [ksoftirqd/3]
root          64  0.0  0.0      0     0 ?        I<   11:01   0:00  \_ [kworker/3:0H-events_highpri]
root          65  0.0  0.0      0     0 ?        S    11:01   0:00  \_ [cpuhp/5]
root          66  0.0  0.0      0     0 ?        S    11:01   0:00  \_ [idle_inject/5]
root          67  0.0  0.0      0     0 ?        S    11:01   0:00  \_ [migration/5]
root          68  0.0  0.0      0     0 ?        S    11:01   0:00  \_ [ksoftirqd/5]
root          70  0.0  0.0      0     0 ?        I<   11:01   0:00  \_ [kworker/5:0H-events_highpri]
root          71  0.0  0.0      0     0 ?        S    11:01   0:00  \_ [cpuhp/7]
root          72  0.0  0.0      0     0 ?        S    11:01   0:00  \_ [idle_inject/7]
root          73  0.0  0.0      0     0 ?        S    11:01   0:00  \_ [migration/7]
root          74  0.0  0.0      0     0 ?        S    11:01   0:00  \_ [ksoftirqd/7]
root          76  0.0  0.0      0     0 ?        I<   11:01   0:00  \_ [kworker/7:0H-events_highpri]
